ID,gray_R,gray_G,gray_B,avg_gray,percent_R,percent_G,percent_B,avg_percent,darkness,
D001,16.9645,17.007,16.4425,16.80466667,21.002,20.103,21.248,20.78433333,12.19533333,
D002,12.1175,12.3895,11.9355,12.1475,4.3145,4.432,4.674,4.4735,16.8525,
D003,17.969,17.188,16.276,17.14433333,6.9275,6.1695,7.051,6.716,11.85566667,
D004,13.986,13.7765,13.844,13.86883333,42.5405,40.6105,44.372,42.50766667,15.13116667,
D005,12.4345,12.74,12.44,12.53816667,44.828,44.3155,47.589,45.5775,16.46183333,
D006,11.921,12.24,11.812,11.991,69.6365,70.153,72.437,70.74216667,17.009,
D007,15.7225,16.076,14.9755,15.59133333,11.094,10.334,11.3495,10.92583333,13.40866667,
D008,14.7795,14.881,14.19,14.61683333,44.585,43.9975,46.723,45.10183333,14.38316667,
D009,12.748,13.05,12.389,12.729,64.6435,64.16,66.96,65.2545,16.271,
D010,16.92,16.5885,15.2455,16.25133333,6.53,5.71,6.678,6.306,12.74866667,
D011,16.471,15.375,14.142,15.32933333,9.256,8.168,9.626,9.016666667,13.67066667,
D012,17.107,16.992,16.291,16.79666667,10.038,9.64,11.287,10.32166667,12.20333333,
D013,12.487,12.185,10.837,11.83633333,87.953,88.225,89.461,88.54633333,17.16366667,
D014,12.36,12.336,12.179,12.29166667,60.861,59.324,64.381,61.522,16.70833333,
D015,12.221,11.99,10.838,11.683,75.692,76.606,79.709,77.33566667,17.317,
D016,12.288,12.122,11.089,11.833,83.119,84.012,86.57,84.567,17.167,
D017,16.371,16.419,14.871,15.887,16.65,16.318,18.295,17.08766667,13.113,
D018,12.699,12.795,11.489,12.32766667,45.827,45.656,47.642,46.375,16.67233333,
D019,12.841,12.894,12.237,12.65733333,42.779,42.474,45.365,43.53933333,16.34266667,
D020,21.352,17.209,19.306,19.289,12.807,6.871,11.555,10.411,9.711,
D021,11.232,11.26,10.566,11.01933333,74.671,74.604,79.179,76.15133333,17.98066667,
D022,12.901,12.756,12.553,12.73666667,60.773,58.812,63.774,61.11966667,16.26333333,
D023,11.473,11.633,10.773,11.293,83.279,84,86.099,84.45933333,17.707,
D024,14.337,13.993,13.387,13.90566667,35.474,32.572,35.61,34.552,15.09433333,
D025,12.074,12.218,11.425,11.90566667,75.579,75.566,79.276,76.807,17.09433333,
D026,15.443,15.04,14.759,15.08066667,10.062,9.846,11.879,10.59566667,13.91933333,
D027,12.615,12.724,12.144,12.49433333,58.691,58.717,65.708,61.03866667,16.50566667,
D028,16.638,16.602,15.592,16.27733333,39.421,38.127,41.586,39.71133333,12.72266667,
D029,16.313,14.803,14.428,15.18133333,13.109,10.841,12.899,12.283,13.81866667,
D030,14.012,13.869,12.956,13.61233333,52.661,50.859,53.539,52.353,15.38766667,
D031,15.892,14.628,14.375,14.965,38.363,34.232,38.451,37.01533333,14.035,
D032,12.2,12.35,11.726,12.092,80.09,80.631,83.599,81.44,16.908,
D033,14.907,14.284,14.081,14.424,34.85,32.46,36.707,34.67233333,14.576,
D034,11.979,12.3,11.659,11.97933333,84.135,84.512,86.361,85.00266667,17.02066667,
D035,20.012,15.581,15.98,17.191,12.854,6.903,8.688,9.481666667,11.809,
D036,13.158,13.175,12.599,12.97733333,34.961,34.819,38.465,36.08166667,16.02266667,
D037,17.065,15.516,15.039,15.87333333,18.493,15.375,18.701,17.523,13.12666667,
D038,18.688,17.538,17.431,17.88566667,12.013,9.989,12.2,11.40066667,11.11433333,
D039,11.509,11.663,11.006,11.39266667,81.643,82.429,86.207,83.42633333,17.60733333,
D040,10.575,10.851,10.142,10.52266667,85.567,85.768,87.448,86.261,18.47733333,
D041,16.001,15.305,15.353,15.553,22.258,19.98,23.91,22.04933333,13.447,
D042,8.461,8.8,8.274,8.511666667,84.507,85.107,87.431,85.68166667,20.48833333,
D043,18.324,17.208,17.281,17.60433333,8.213,6.989,9.185,8.129,11.39566667,
D044,18.877,15.303,17.287,17.15566667,13.628,8.838,13.413,11.95966667,11.84433333,
D045,15.824,14.972,15.193,15.32966667,7.326,6.635,8.354,7.438333333,13.67033333,
D046,9.278,9.498,8.841,9.205666667,85.658,86.295,88.748,86.90033333,19.79433333,
D047,13.697,13.366,13.155,13.406,68.357,65.177,72.643,68.72566667,15.594,
D048,11.481,11.542,11.064,11.36233333,68.527,68.36,71.569,69.48533333,17.63766667,
D049,13.09,13.135,12.633,12.95266667,56.92,56.685,62.494,58.69966667,16.04733333,
D050,17.14,14.768,15.151,15.68633333,4.034,3.155,4.08,3.756333333,13.31366667,
D051,12.892,11.628,11.375,11.965,39.844,35.788,39.088,38.24,17.035,
D052,13.984,13.353,13.481,13.606,48.837,45.648,51.468,48.651,15.394,
D053,11.798,11.458,12.286,11.84733333,39.9,39.226,47.393,42.173,17.15266667,
D054,8.868,9.186,8.462,8.838666667,89.82,90.16,92.049,90.67633333,20.16133333,
D055,17.174,15.642,15.052,15.956,18.681,14.838,17.314,16.94433333,13.044,
D056,14.865,14.89,14.508,14.75433333,41.416,40.708,45.518,42.54733333,14.24566667,
D057,10.838,11.008,10.46,10.76866667,80.714,81.442,84.85,82.33533333,18.23133333,
D058,10.682,10.826,10.124,10.544,84.319,85.273,88.682,86.09133333,18.456,
D059,15.85,14.164,13.772,14.59533333,16.418,13.134,15.242,14.93133333,14.40466667,
D060,15.592,14.917,14.492,15.00033333,8.327,8.014,9.271,8.537333333,13.99966667,
D061,14.962,14.29,14.11,14.454,7.494,6.936,8.468,7.632666667,14.546,
D062,10.867,10.685,10.754,10.76866667,64.236,61.854,69.27,65.12,18.23133333,
D063,11.934,11.354,12.341,11.87633333,55.516,52.858,66.945,58.43966667,17.12366667,
D064,16.2,16.167,15.569,15.97866667,4.494,4.4978,5.472,4.821266667,13.02133333,
D065,12.32,11.569,11.551,11.81333333,68.219,63.132,70.373,67.24133333,17.18666667,
D066,10.681,11.093,10.462,10.74533333,76.606,76.663,79.22,77.49633333,18.25466667,
D067,11.523,11.808,11.202,11.511,73.334,73.959,79.241,75.51133333,17.489,
D068,10.379,10.654,9.892,10.30833333,80.606,80.893,83.483,81.66066667,18.69166667,
D069,12.257,12.459,11.769,12.16166667,74.758,74.968,77.093,75.60633333,16.83833333,
D070,12.431,12.217,11.515,12.05433333,58.885,57.475,62.779,59.713,16.94566667,
D071,9.469,9.678,8.986,9.377666667,88.753,89.415,90.886,89.68466667,19.62233333,
D072,11.449,11.532,10.749,11.24333333,81.394,81.964,84.702,82.68666667,17.75666667,
D073,12.969,12.702,12.473,12.71466667,48.98,47.533,54.835,50.44933333,16.28533333,
D074,12.309,12.308,11.442,12.01966667,73.23,74.309,78.466,75.335,16.98033333,
D075,13.67,12.229,12.422,12.77366667,40.853,34.748,39.603,38.40133333,16.22633333,
D076,15.769,14.675,14.239,14.89433333,15.067,13.161,14.985,14.40433333,14.10566667,
D077,16.653,13.681,15.316,15.21666667,19.336,13.549,19.037,17.30733333,13.78333333,
D078,17.315,13.587,14.335,15.079,11.441,7.932,10.381,9.918,13.921,
D079,23.287,19.864,21.165,21.43866667,18.213,5.328,9.846,11.129,7.561333333,
D080,15.41,15.145,16.059,15.538,12.889,12.785,17.048,14.24066667,13.462,
D081,15.15,14.623,16.524,15.43233333,8.891,8.423,13.261,10.19166667,13.56766667,
D082,14.302,14.48,14.176,14.31933333,28.904,29.974,34.82,31.23266667,14.68066667,
D083,12.22,12.337,11.355,11.97066667,85.084,85.193,87.861,86.046,17.02933333,
D084,11.807,12.167,11.384,11.786,90.061,90.277,91.44,90.59266667,17.214,
D085,12.79,12.972,12.291,12.68433333,57.147,57.809,61.843,58.933,16.31566667,
D086,12.536,12.047,11.883,12.15533333,47.627,44.44,49.648,47.23833333,16.84466667,
D087,16.583,15.714,15.482,15.92633333,5.911,5.251,6.46,5.874,13.07366667,
D088,12.786,12.687,11.992,12.48833333,37.207,36.866,40.681,38.25133333,16.51166667,
D089,9.415,9.559,9.435,9.469666667,74.899,74.258,80.953,76.70333333,19.53033333,
D090,11.012,11.2,10.613,10.94166667,75.872,75.972,79.265,77.03633333,18.05833333,
D091,14.164,13.726,13.131,13.67366667,37.362,35.398,39.355,37.37166667,15.32633333,
D092,14.029,12.598,12.812,13.14633333,16.429,14.398,17.005,15.944,15.85366667,
D093,14.936,14.694,14.13,14.58666667,9.649,9.453,10.975,10.02566667,14.41333333,
D094,11.077,11.335,10.715,11.04233333,75.25,75.554,79.507,76.77033333,17.95766667,
D095,11.674,11.836,11.033,11.51433333,78.916,79.455,82.089,80.15333333,17.48566667,
D096,16.372,13.096,14.167,14.545,8.696,6.427,8.747,7.956666667,14.455,
D097,11.574,11.857,11.306,11.579,76.429,75.911,80.046,77.462,17.421,
D098,11.624,10.477,11.027,11.04266667,59.724,54.039,61.264,58.34233333,17.95733333,
D099,10.221,10.315,9.482,10.006,82.265,82.87,86.182,83.77233333,18.994,
D100,12.656,12.17,12,12.27533333,60.26,55.213,61.091,58.85466667,16.72466667,
D101,10.548,10.703,9.92,10.39033333,79.285,79.298,82.452,80.345,18.60966667,
D102,17.02,16.388,16.298,16.56866667,9.065,8.179,10.604,9.282666667,12.43133333,
D103,17.051,15.485,15.173,15.903,9.711,7.592,8.986,8.763,13.097,
D104,13.473,12.769,12.551,12.931,10.634,9.765,11.549,10.64933333,16.069,
D105,16.65,14.843,14.246,15.24633333,33.039,26.49,30.058,29.86233333,13.75366667,
D106,13.011,12.12,11.901,12.344,37.485,34.037,37.722,36.41466667,16.656,
D107,14.469,13.981,14.143,14.19766667,11.229,11.077,13.958,12.088,14.80233333,
D108,15.283,13.646,14.34,14.423,6.412,5.561,7.18,6.384333333,14.577,
D109,10.716,11.172,10.405,10.76433333,90.512,90.606,93.234,91.45066667,18.23566667,
D110,11.904,12.092,11.469,11.82166667,77.906,77.805,82.555,79.422,17.17833333,
D111,11.983,12.186,11.615,11.928,76.807,76.744,81.504,78.35166667,17.072,
D112,13.458,13.056,12.533,13.01566667,59.679,54.837,59.553,58.023,15.98433333,
D113,12.859,12.129,12.048,12.34533333,60.53,55.108,60.661,58.76633333,16.65466667,
D114,14.82,14.454,13.566,14.28,12.645,13.025,15.563,13.74433333,14.72,
D115,14.791,14.625,14.417,14.611,17.817,17.159,21.259,18.745,14.389,
D116,12.226,12.584,11.942,12.25066667,74.557,74.629,77.942,75.70933333,16.74933333,
D117,11.05,11.397,10.67,11.039,80.738,80.776,83.106,81.54,17.961,
D118,19.367,15.488,16.492,17.11566667,22.566,13.617,18.51,18.231,11.88433333,
D119,15.831,14.518,14.379,14.90933333,47.41,40.04,45.063,44.171,14.09066667,
D120,10.18,10.509,9.699,10.12933333,89.688,89.918,91.289,90.29833333,18.87066667,
D121,15.738,14.986,17.447,16.057,14.651,14.348,24.621,17.87333333,12.943,
D122,12.996,12.123,12.329,12.48266667,57.133,51.643,58.72,55.832,16.51733333,
D123,15.647,13.603,14.098,14.44933333,58.978,44.308,51.764,51.68333333,14.55066667,
D124,18.196,16.064,17.291,17.18366667,10.55,8.022,12.318,10.29666667,11.81633333,
D125,14.61,12.568,12.942,13.37333333,19.087,15.472,18.722,17.76033333,15.62666667,
D126,11.095,11.012,10.537,10.88133333,66.393,64.975,70.704,67.35733333,18.11866667,
D127,12.234,12.481,11.893,12.20266667,72.975,71.816,77.345,74.04533333,16.79733333,
D128,12.263,11.977,11.798,12.01266667,69.881,66.494,73.149,69.84133333,16.98733333,
D129,10.845,11,9.946,10.597,82.871,83.065,85.079,83.67166667,18.403,
D130,10.721,10.945,10.4,10.68866667,75.323,75.598,80.625,77.182,18.31133333,
D131,9.5,9.829,9.203,9.510666667,76.94,76.394,80.093,77.809,19.48933333,
D132,14.227,13.951,13.714,13.964,67.546,63.857,71.274,67.559,15.036,
D133,9.001,9.412,8.779,9.064,85.559,86.512,89.967,87.346,19.936,
D134,15.627,14.617,14.281,14.84166667,41.494,36.38,40.967,39.61366667,14.15833333,
D135,19.798,15.915,17.498,17.737,7.937,5.122,7.613,6.890666667,11.263,
